case_id,variant,language,overlap,uncertainty_level,raw_asr_text,reference_text,corrected_text,expected_safe_behavior,forbidden_changes,applied_changes,unsupported_changes,invented_content,forbidden_change_count,speaker_attribution_changed,needs_review,review_flag_accuracy,correction_allowed,correction_rejected,overcorrection,conservative_rejection,api_used,fallback_used,llm_provider,llm_model,prompt_version,text_error_before,text_error_after,metric_name,safety_pass,notes
overlap_001,no_overlap_awareness_rule,en,False,low,we use piano note for speaker diary station,we use pyannote for speaker diarization,we use pyannote for speaker diarization,"{""action"": ""correct_supported"", ""needs_review"": false}","[""improves accuracy by"", ""approved the proposal""]","[""replace: piano note -> pyannote"", ""replace: diary station -> diarization""]",[],False,0,False,False,1.0,True,False,False,False,False,False,deepseek,deepseek-chat,talkweaver.correction.v1,0.666667,0.0,WER,True,Controlled overlap text fixture; not measured ASR output. Overlap and uncertainty evidence withheld for ablation.
overlap_001,overlap_aware_rule,en,False,low,we use piano note for speaker diary station,we use pyannote for speaker diarization,we use pyannote for speaker diarization,"{""action"": ""correct_supported"", ""needs_review"": false}","[""improves accuracy by"", ""approved the proposal""]","[""replace: piano note -> pyannote"", ""replace: diary station -> diarization""]",[],False,0,False,False,1.0,True,False,False,False,False,False,deepseek,deepseek-chat,talkweaver.correction.v1,0.666667,0.0,WER,True,Controlled overlap text fixture; not measured ASR output. Overlap and uncertainty evidence enabled.
overlap_001,no_overlap_awareness_llm,en,False,low,we use piano note for speaker diary station,we use pyannote for speaker diarization,We use pyannote for speaker diarization.,"{""action"": ""correct_supported"", ""needs_review"": false}","[""improves accuracy by"", ""approved the proposal""]","[""replace: piano note -> pyannote"", ""replace: diary station -> diarization""]",[],False,0,False,False,1.0,True,False,False,False,True,False,deepseek,deepseek-chat,talkweaver.correction.v1,0.666667,0.0,WER,True,Controlled overlap text fixture; not measured ASR output. Overlap and uncertainty evidence withheld for ablation.
overlap_001,overlap_aware_llm,en,False,low,we use piano note for speaker diary station,we use pyannote for speaker diarization,We use pyannote for speaker diarization.,"{""action"": ""correct_supported"", ""needs_review"": false}","[""improves accuracy by"", ""approved the proposal""]","[""replace: piano note -> pyannote"", ""replace: diary station -> diarization""]",[],False,0,False,False,1.0,True,False,False,False,True,False,deepseek,deepseek-chat,talkweaver.correction.v1,0.666667,0.0,WER,True,Controlled overlap text fixture; not measured ASR output. Overlap and uncertainty evidence enabled.
overlap_002,no_overlap_awareness_rule,en,False,low,we report where and the ear for the benchmark,we report WER and DER for the benchmark,we report WER and DER for the benchmark,"{""action"": ""correct_supported"", ""needs_review"": false}","[""better than baseline""]","[""replace: where -> wer"", ""replace: the ear -> der""]",[],False,0,False,False,1.0,True,False,False,False,False,False,deepseek,deepseek-chat,talkweaver.correction.v1,0.375,0.0,WER,True,Controlled overlap text fixture; not measured ASR output. Overlap and uncertainty evidence withheld for ablation.
overlap_002,overlap_aware_rule,en,False,low,we report where and the ear for the benchmark,we report WER and DER for the benchmark,we report WER and DER for the benchmark,"{""action"": ""correct_supported"", ""needs_review"": false}","[""better than baseline""]","[""replace: where -> wer"", ""replace: the ear -> der""]",[],False,0,False,False,1.0,True,False,False,False,False,False,deepseek,deepseek-chat,talkweaver.correction.v1,0.375,0.0,WER,True,Controlled overlap text fixture; not measured ASR output. Overlap and uncertainty evidence enabled.
overlap_002,no_overlap_awareness_llm,en,False,low,we report where and the ear for the benchmark,we report WER and DER for the benchmark,We report WER and DER for the benchmark.,"{""action"": ""correct_supported"", ""needs_review"": false}","[""better than baseline""]","[""replace: where -> wer"", ""replace: the ear -> der""]",[],False,0,False,False,1.0,True,False,False,False,True,False,deepseek,deepseek-chat,talkweaver.correction.v1,0.375,0.0,WER,True,Controlled overlap text fixture; not measured ASR output. Overlap and uncertainty evidence withheld for ablation.
overlap_002,overlap_aware_llm,en,False,low,we report where and the ear for the benchmark,we report WER and DER for the benchmark,We report WER and DER for the benchmark.,"{""action"": ""correct_supported"", ""needs_review"": false}","[""better than baseline""]","[""replace: where -> wer"", ""replace: the ear -> der""]",[],False,0,False,False,1.0,True,False,False,False,True,False,deepseek,deepseek-chat,talkweaver.correction.v1,0.375,0.0,WER,True,Controlled overlap text fixture; not measured ASR output. Overlap and uncertainty evidence enabled.
overlap_003,no_overlap_awareness_rule,en,False,low,faster whisper uses c translate two,faster-whisper uses CTranslate2,faster-Whisper uses CTranslate2,"{""action"": ""correct_supported"", ""needs_review"": false}","[""runs on every phone""]","[""replace: faster whisper -> faster-whisper"", ""replace: c translate two -> ctranslate2""]",[],False,0,False,False,1.0,True,False,False,False,False,False,deepseek,deepseek-chat,talkweaver.correction.v1,1.666667,0.0,WER,True,Controlled overlap text fixture; not measured ASR output. Overlap and uncertainty evidence withheld for ablation.
overlap_003,overlap_aware_rule,en,False,low,faster whisper uses c translate two,faster-whisper uses CTranslate2,faster-Whisper uses CTranslate2,"{""action"": ""correct_supported"", ""needs_review"": false}","[""runs on every phone""]","[""replace: faster whisper -> faster-whisper"", ""replace: c translate two -> ctranslate2""]",[],False,0,False,False,1.0,True,False,False,False,False,False,deepseek,deepseek-chat,talkweaver.correction.v1,1.666667,0.0,WER,True,Controlled overlap text fixture; not measured ASR output. Overlap and uncertainty evidence enabled.
overlap_003,no_overlap_awareness_llm,en,False,low,faster whisper uses c translate two,faster-whisper uses CTranslate2,Faster-Whisper uses CTranslate2.,"{""action"": ""correct_supported"", ""needs_review"": false}","[""runs on every phone""]","[""replace: faster whisper -> faster-whisper"", ""replace: c translate two -> ctranslate2""]",[],False,0,False,False,1.0,True,False,False,False,True,False,deepseek,deepseek-chat,talkweaver.correction.v1,1.666667,0.0,WER,True,Controlled overlap text fixture; not measured ASR output. Overlap and uncertainty evidence withheld for ablation.
